Sample,Gen_0,Gen_2_30C,Gen_5_30C,Gen_8_30C,Gen_12_30C,Gen_15_30C,Gen_2_37C,Gen_5_37C,Gen_8_37C,Gen_12_37C,Gen_15_37C
1706_1,56.36,47.75,50.05,51.99,56.9,66.82,52.88,45.15,44.41,46.09,48.84
3410_1,67.87,72.87,73.66,73.67,71.28,65.49,74.75,79.31,81.91,75.33,81.04
2543_1,51.58,61.18,65.17,69.18,71.12,75.45,60.1,66.81,67.51,71.04,73.02
3418_1,67.16,72.93,81.43,84.03,81.37,74.17,74.61,85.99,90.11,87.42,91.05
2546_1,54.58,61.08,66.87,68.89,70.69,74.85,59.17,65.24,65.6,66.71,71.43
3421_1,52.89,60.77,65.6,68.49,69.35,71.97,57.8,65.77,68.17,74.01,77.13
2702_1,42.48,51.64,63.3,61.91,63.78,65.25,55.01,60.79,61.22,64.18,67.61
3429_1,64.17,65.46,64.91,63.35,61.62,62.68,64,68.43,75.84,79.65,87.73
2750_1,42.3,33.7,44.68,42.53,47.8,64.72,36.18,39.15,48,58.1,82.98
3435_1,49.03,65.53,67.68,67.11,64.73,63.09,64.52,65.35,64.45,64.2,65
3293_1,53.8,65.12,68.86,69.27,68.87,69.42,61.71,67.1,66,68.35,71.82
3448_1,66.47,71.95,70.85,68.48,66.69,71.47,67.8,70.46,78.77,80.63,88.42
3457_1,69.41,68.18,66.82,66.38,65.09,68.08,65.67,69.43,74.85,77.82,86.02
3458_1,52.94,64.32,67.67,68.13,67.75,67.84,61.45,65.56,65.67,69.23,71.69
3429_2,67.62,70.24,70.33,71.03,70.68,72.98,69.97,74.97,82.8,86.99,92.5
3293_2,54.96,61.23,63.34,66.21,66.69,69.86,60.68,66.08,68.88,72.82,75.02
2702_2,29.91,44.7,67.9,71.5,71.23,75.86,54.18,72.89,77.41,79.93,83.06
2543_2,53.92,63.67,69.98,73.09,76.3,80.34,63.5,69.29,73.04,75.92,79.17
3410_2,66.22,74.02,77.51,78.39,76,73.69,77.03,82.65,86.79,84.03,88.17
3418_2,69.02,72.71,78.69,80.84,77.14,70.29,78.06,84.74,89.4,87.29,91.25
3421_2,54.04,62.52,66.55,67.52,69.33,70.31,61.62,67.58,71.38,76.51,79.89
2546_2,55.15,63.04,68.63,72.25,75.79,79.72,61.06,65.99,69.63,73.81,76.68
3448_2,65.93,73.35,74.55,76.45,77,81.02,74.69,79.8,86.06,89.94,94.37
3410_3,68.03,75.46,80.48,81.67,79.54,77.52,77.4,85.47,88.18,86.32,90.61
3457_2,61.63,71.21,74.13,74.62,75.42,77.97,71.05,77.57,84.23,87.58,92.03
2750_2,31.69,34.7,46.12,46.49,53.35,68.93,37.46,44.97,60.06,75.02,88.94
3418_3,66.11,76.49,85.87,90.23,90.1,85.46,78.99,90.79,95.12,95.36,97.39
3293_3,58.85,61.2,61.24,62.56,64.8,66.93,59.95,61.24,64.32,67.58,72.5
1706_2,28.58,33.26,44.91,49.25,57.95,65.26,31.47,38.2,42.01,47.05,48.46
2543_3,57.96,63.6,68.95,72.3,74.98,78.13,64.37,68.67,72.66,74.43,77.31
3429_3,67.58,72.41,70.97,71.32,72.12,74.07,75.93,77.86,85.6,88.14,92.67
3435_2,61.65,68.73,76.31,76.3,77.47,79.2,70.22,75.68,77.5,80.26,81.55
2750_3,38.94,45.8,55.48,58.52,65.44,78.47,44.76,54.88,67.16,79.34,87.77
2546_3,58.2,64.6,71.31,75.49,78.67,83.44,62.74,70.44,73.78,78.99,80.49
3421_3,56.67,63.65,59.39,59.24,58.73,60.67,58.26,60.24,62.41,66.95,70.98
3457_3,69.23,72.99,74.58,76.59,77.22,80.67,71.92,76.4,84.21,88.29,92.55
3458_2,56.14,65.5,70.53,72.81,74.24,76.65,61.11,71.69,71.18,74.78,76.88
3458_3,61.38,68.27,78.15,82.99,85.92,87.38,67.36,78.11,83.69,86.61,89.22
3435_3,52.73,60.51,64.63,66.84,67.49,67.67,60.3,65.08,67.08,69.46,69.73
3448_3,65.51,76.61,76.66,79.8,80.32,85.04,75.01,80.73,88.71,90.4,94.89
1706_3,23.98,25.05,43.36,55.86,67.47,75.78,26.54,45.28,53.64,65.18,67.36
2702_3,25.19,30.12,48.92,54.76,59.03,61.33,26.58,46.8,54.46,63.9,67.2
